,title,word
phone,The Great Gatsby,2
physically,The Great Gatsby,2
integrity,The Great Gatsby,2
physician,The Scarlet Letter,2
picks,The Great Gatsby,2
pigeon,The Awakening,2
instead,The Great Gatsby,2
place,The Kite Runner,2
insists,The Taming of the Shrew,2
placed,The Great Gatsby,2
placed,The Importance of Being Earnest,2
inn,Emma,2
initially,Macbeth,2
play,As You Like It,2
play,Much Ado About Nothing,2
potion,Romeo and Juliet,2
immediately,Othello,2
immediately,Jane Eyre,2
pretty,Emma,2
hopes,The Great Gatsby,2
hopeless,The Great Gatsby,2
prison,The Scarlet Letter,2
privacy,The Great Gatsby,2
honest,The Great Gatsby,2
homosexuals,The Handmaid's Tale,2
privilege,The Great Gatsby,2
privileged,The Kite Runner,2
home,Romeo and Juliet,2
hit,The Great Gatsby,2
history,The Great Gatsby,2
hiding,The Great Gatsby,2
progresses,The Great Gatsby,2
herd,As You Like It,2
promises,As You Like It,2
helped,The Great Gatsby,2
help,The Great Gatsby,2
help,Othello,2
help,Beloved,2
promotion,Othello,2
heat,The Great Gatsby,2
hosted,The Great Gatsby,2
hot,The Great Gatsby,2
poverty,The Great Gatsby,2
hotel,The Great Gatsby,2
immediately,Beloved,2
power,The Great Gatsby,2
illyria,Twelfth Night,2
ill,Emma,2
identity,The Awakening,2
identities,Romeo and Juliet,2
idealistic,The Great Gatsby,2
husband,The Taming of the Shrew,2
husband,The Great Gatsby,2
husband,The Awakening,2
prepared,The Great Gatsby,2
presence,Beloved,2
present,The Great Gatsby,2
however,The Taming of the Shrew,2
however,The Awakening,2
however,As You Like It,2
housekeeper,Jane Eyre,2
household,The Awakening,2
pretending,As You Like It,2
hour,The Great Gatsby,2
hottest,The Great Gatsby,2
coupe,The Great Gatsby,2
morning,Romeo and Juliet,2
blanche,Jane Eyre,2
boasts,The Great Gatsby,2
appears,Emma,2
business,The Great Gatsby,2
united,The Kite Runner,2
traveled,The Great Gatsby,2
aid,Beloved,2
boats,The Great Gatsby,2
concentrate,The Great Gatsby,2
winning,The Great Gatsby,2
concerned,The Great Gatsby,2
agrees,Romeo and Juliet,2
bury,The Great Gatsby,2
appears,Macbeth,2
chosen,The Great Gatsby,2
c,The Great Gatsby,2
tells,Othello,2
agrees,Emma,2
unhappy,Jane Eyre,2
condition,Emma,2
sure,The Taming of the Shrew,2
wants,Jane Eyre,2
christenings,The Importance of Being Earnest,2
burns,Jane Eyre,2
suspects,The Scarlet Letter,2
appear,Othello,2
completely,Beloved,2
complex,The Kite Runner,2
tragic,Macbeth,2
tells,As You Like It,2
wife,The Handmaid's Tale,2
tragic,The Great Gatsby,2
born,The Great Gatsby,2
born,Macbeth,2
warmth,The Great Gatsby,2
train,The Great Gatsby,2
burned,Jane Eyre,2
variety,Life of Pi,2
surviving,Life of Pi,2
various,Twelfth Night,2
alarm,Othello,2
warfare,The Handmaid's Tale,2
ward,The Importance of Being Earnest,2
tells,Jane Eyre,2
survival,Life of Pi,2
war,Much Ado About Nothing,2
times,The Great Gatsby,2
tells,The Importance of Being Earnest,2
agreed,The Taming of the Shrew,2
understands,The Great Gatsby,2
approaches,The Taming of the Shrew,2
charlotte,Pride and Prejudice,2
blame,The Great Gatsby,2
woman,Beloved,2
woman,Macbeth,2
woman,Much Ado About Nothing,2
time,Life of Pi,2
banquet,The Taming of the Shrew,2
confrontational,The Great Gatsby,2
black,Beloved,2
badger,The Great Gatsby,2
adultery,The Scarlet Letter,2
walk,The Importance of Being Earnest,2
women,The Great Gatsby,2
women,The Importance of Being Earnest,2
women,The Scarlet Letter,2
tries,Beloved,2
areas,The Handmaid's Tale,2
bitter,As You Like It,2
wonders,Jane Eyre,2
unexpectedly,Pride and Prejudice,2
called,The Awakening,2
chasing,The Great Gatsby,2
without,Pride and Prejudice,2
call,Emma,2
blind,Life of Pi,2
agree,The Importance of Being Earnest,2
confesses,The Great Gatsby,2
call,The Great Gatsby,2
treatment,Jane Eyre,2
want,The Great Gatsby,2
chest,The Scarlet Letter,2
agitated,The Great Gatsby,2
withdraws,Beloved,2
ball,Romeo and Juliet,2
check,The Great Gatsby,2
unfaithful,Othello,2
time,The Awakening,2
support,The Great Gatsby,2
within,The Awakening,2
agents,The Handmaid's Tale,2
without,Emma,2
apprehended,The Handmaid's Tale,2
bothered,The Great Gatsby,2
wife,Pride and Prejudice,2
terms,The Great Gatsby,2
clergyman,Jane Eyre,2
another,The Awakening,2
colonies,The Handmaid's Tale,2
takes,Jane Eyre,2
takes,Beloved,2
attempt,The Handmaid's Tale,2
watercraft,Life of Pi,2
upon,The Scarlet Letter,2
clergyman,Pride and Prejudice,2
attracted,Pride and Prejudice,2
come,Emma,2
upside,The Great Gatsby,2
tomb,Romeo and Juliet,2
taken,Emma,2
comes,As You Like It,2
clearly,The Taming of the Shrew,2
audience,As You Like It,2
comes,The Great Gatsby,2
although,The Awakening,2
attempt,Beloved,2
take,Emma,2
takes,The Awakening,2
wednesday,Romeo and Juliet,2
bottle,The Great Gatsby,2
attended,The Great Gatsby,2
anger,The Taming of the Shrew,2
close,As You Like It,2
attend,The Great Gatsby,2
brother,Twelfth Night,2
way,The Taming of the Shrew,2
way,The Kite Runner,2
clothing,Jane Eyre,2
vacationing,The Awakening,2
tea,The Great Gatsby,2
announcement,Emma,2
amazing,The Great Gatsby,2
way,The Great Gatsby,2
brother,Much Ado About Nothing,2
using,Othello,2
vague,The Great Gatsby,2
announces,The Great Gatsby,2
taking,The Great Gatsby,2
another,As You Like It,2
another,Life of Pi,2
coles,Emma,2
comfortable,The Great Gatsby,2
tactless,The Great Gatsby,2
augusta,Emma,2
along,The Great Gatsby,2
whiskey,The Great Gatsby,2
also,Life of Pi,2
also,Emma,2
whistle,Life of Pi,2
already,The Importance of Being Earnest,2
cigarettes,The Great Gatsby,2
boys,Beloved,2
community,Beloved,2
boys,As You Like It,2
together,The Taming of the Shrew,2
class,The Kite Runner,2
burial,The Great Gatsby,2
alone,The Awakening,2
switches,The Great Gatsby,2
alone,Emma,2
tell,The Great Gatsby,2
together,The Great Gatsby,2
wicked,The Importance of Being Earnest,2
bought,The Great Gatsby,2
wife,Beloved,2
weymouth,Emma,2
watch,The Great Gatsby,2
van,The Handmaid's Tale,2
city,The Importance of Being Earnest,2
although,Macbeth,2
although,Life of Pi,2
coming,Emma,2
coming,Jane Eyre,2
although,Jane Eyre,2
attacks,Life of Pi,2
coming,The Great Gatsby,2
telegram,The Great Gatsby,2
toward,Emma,2
authority,The Great Gatsby,2
went,The Great Gatsby,2
unsuccessful,The Great Gatsby,2
towards,Macbeth,2
claims,Jane Eyre,2
also,Twelfth Night,2
claiming,The Taming of the Shrew,2
unruly,The Taming of the Shrew,2
also,The Scarlet Letter,2
bunbury,The Importance of Being Earnest,2
time,Jane Eyre,2
tangible,The Great Gatsby,2
underground,The Handmaid's Tale,2
truth,The Great Gatsby,2
continent,The Great Gatsby,2
becomes,Jane Eyre,2
continually,The Great Gatsby,2
abbey,Emma,2
cesario,Twelfth Night,2
accomplice,The Great Gatsby,2
array,The Great Gatsby,2
convince,The Taming of the Shrew,2
stronghold,Macbeth,2
visits,Pride and Prejudice,2
continue,The Taming of the Shrew,2
yet,Emma,2
becomes,The Scarlet Letter,2
convince,Jane Eyre,2
bed,Jane Eyre,2
arranges,Much Ado About Nothing,2
best,As You Like It,2
became,The Great Gatsby,2
becomes,Beloved,2
acknowledge,The Great Gatsby,2
arrives,As You Like It,2
thereby,The Great Gatsby,2
conversation,Life of Pi,2
storm,Life of Pi,2
center,The Handmaid's Tale,2
become,The Taming of the Shrew,2
young,Beloved,2
behind,The Great Gatsby,2
begins,Othello,2
accuses,Othello,2
becomes,As You Like It,2
begins,Emma,2
challenge,Romeo and Juliet,2
account,Life of Pi,2
bed,Othello,2
tutors,The Taming of the Shrew,2
beginning,The Taming of the Shrew,2
bedchamber,Macbeth,2
carelessness,The Great Gatsby,2
three,Beloved,2
turns,The Taming of the Shrew,2
believes,The Great Gatsby,2
absorbed,The Great Gatsby,2
think,Emma,2
story,Othello,2
believes,Othello,2
turns,Emma,2
yard,The Great Gatsby,2
think,The Great Gatsby,2
years,Beloved,2
year,Beloved,2
visits,The Handmaid's Tale,2
arrive,The Importance of Being Earnest,2
believing,Life of Pi,2
absence,Jane Eyre,2
centering,Twelfth Night,2
belongings,The Great Gatsby,2
arrival,Emma,2
beginning,Much Ado About Nothing,2
continues,The Great Gatsby,2
admit,The Great Gatsby,2
believe,Emma,2
years,The Scarlet Letter,2
accidentally,The Awakening,2
begin,The Great Gatsby,2
conviction,The Great Gatsby,2
years,The Importance of Being Earnest,2
care,The Taming of the Shrew,2
accident,The Great Gatsby,2
control,Beloved,2
turn,The Great Gatsby,2
young,Much Ado About Nothing,2
asks,The Great Gatsby,2
true,The Awakening,2
wait,The Taming of the Shrew,2
begins,The Awakening,2
causing,Pride and Prejudice,2
thought,Emma,2
bath,Emma,2
young,The Taming of the Shrew,2
army,The Great Gatsby,2
stood,The Great Gatsby,2
work,Beloved,2
canada,The Handmaid's Tale,2
capacity,The Great Gatsby,2
around,The Great Gatsby,2
suddenly,As You Like It,2
action,The Great Gatsby,2
visit,The Importance of Being Earnest,2
work,The Great Gatsby,2
arriving,The Taming of the Shrew,2
tries,The Awakening,2
thursday,Romeo and Juliet,2
basis,The Great Gatsby,2
visit,Pride and Prejudice,2
though,The Scarlet Letter,2
associates,The Great Gatsby,2
suggests,The Great Gatsby,2
armed,The Great Gatsby,2
tries,Romeo and Juliet,2
catcher,Beloved,2
came,The Great Gatsby,2
thus,Twelfth Night,2
address,The Importance of Being Earnest,2
addition,The Kite Runner,2
behalf,Othello,2
changed,The Great Gatsby,2
though,The Taming of the Shrew,2
two,Romeo and Juliet,2
triumph,The Great Gatsby,2
ceremony,Much Ado About Nothing,2
better,The Great Gatsby,2
stops,The Great Gatsby,2
champion,As You Like It,2
behavior,The Taming of the Shrew,2
begins,Romeo and Juliet,2
act,The Taming of the Shrew,2
true,Jane Eyre,2
arrives,The Great Gatsby,2
unannounced,The Great Gatsby,2
cook,Life of Pi,2
art,The Awakening,2
subplots,Twelfth Night,2
arrangements,The Great Gatsby,2
unaware,Romeo and Juliet,2
stop,The Great Gatsby,2
arrange,The Importance of Being Earnest,2
carries,The Handmaid's Tale,2
arrives,Beloved,2
unbearable,The Great Gatsby,2
world,The Kite Runner,2
wager,The Taming of the Shrew,2
valiant,The Taming of the Shrew,1
passive,Emma,1
pastoral,As You Like It,1
paths,Life of Pi,1
plans,Emma,1
valley,The Great Gatsby,1
patch,Jane Eyre,1
plans,Jane Eyre,1
placed,Romeo and Juliet,1
vacationer,The Awakening,1
value,Beloved,1
plans,Othello,1
utterly,The Taming of the Shrew,1
plans,Pride and Prejudice,1
play,Macbeth,1
places,Jane Eyre,1
plans,As You Like It,1
plants,Life of Pi,1
plant,Othello,1
plan,The Taming of the Shrew,1
planning,The Taming of the Shrew,1
planting,Othello,1
planning,Twelfth Night,1
plan,Emma,1
passionate,Jane Eyre,1
plan,As You Like It,1
visit,Much Ado About Nothing,1
path,Twelfth Night,1
plagued,Jane Eyre,1
plague,Romeo and Juliet,1
play,Emma,1
placed,The Taming of the Shrew,1
vague,The Kite Runner,1
vain,Emma,1
passionate,The Taming of the Shrew,1
piano,The Awakening,1
values,The Awakening,1
views,The Kite Runner,1
perform,Romeo and Juliet,1
view,The Kite Runner,1
veil,Jane Eyre,1
personality,Pride and Prejudice,1
personally,The Awakening,1
persuaded,Macbeth,1
persuades,Macbeth,1
perfectly,Emma,1
perfect,Macbeth,1
performance,The Taming of the Shrew,1
persuades,The Scarlet Letter,1
perfect,Emma,1
persuasive,Emma,1
vehement,The Taming of the Shrew,1
vegetarian,Life of Pi,1
villa,Jane Eyre,1
people,The Kite Runner,1
village,Emma,1
performance,The Awakening,1
victorious,Much Ado About Nothing,1
philosophies,The Awakening,1
person,The Taming of the Shrew,1
person,The Scarlet Letter,1
viable,The Handmaid's Tale,1
perpetuation,The Handmaid's Tale,1
vicar,The Importance of Being Earnest,1
vicious,Life of Pi,1
victoria,The Importance of Being Earnest,1
vestment,The Scarlet Letter,1
permission,Much Ado About Nothing,1
persona,The Taming of the Shrew,1
performing,Much Ado About Nothing,1
verona,The Taming of the Shrew,1
personable,Pride and Prejudice,1
permanently,Pride and Prejudice,1
personages,Twelfth Night,1
ventures,The Importance of Being Earnest,1
venture,The Taming of the Shrew,1
personal,The Kite Runner,1
play,Othello,1
villain,Much Ado About Nothing,1
people,The Handmaid's Tale,1
patience,The Taming of the Shrew,1
vanishes,Beloved,1
pays,Emma,1
vanity,Twelfth Night,1
virtually,The Handmaid's Tale,1
pattern,Twelfth Night,1
picture,Emma,1
patronym,The Handmaid's Tale,1
piece,Life of Pi,1
visibly,The Taming of the Shrew,1
vision,Jane Eyre,1
pick,Beloved,1
patrolling,The Handmaid's Tale,1
pillow,Othello,1
place,As You Like It,1
visit,Macbeth,1
place,Emma,1
place,Jane Eyre,1
place,The Awakening,1
place,The Great Gatsby,1
pays,Macbeth,1
pianoforte,Emma,1
vast,The Handmaid's Tale,1
physician,Jane Eyre,1
people,Pride and Prejudice,1
vindictive,Othello,1
phones,The Great Gatsby,1
phrase,The Handmaid's Tale,1
physical,The Awakening,1
vindictively,Jane Eyre,1
violating,The Handmaid's Tale,1
violence,Jane Eyre,1
peers,The Taming of the Shrew,1
pianist,The Awakening,1
violent,Beloved,1
peels,Life of Pi,1
peek,The Taming of the Shrew,1
pedant,The Taming of the Shrew,1
peaceful,As You Like It,1
varens,Jane Eyre,1
virginia,Beloved,1
virtual,The Handmaid's Tale,1
still,The Importance of Being Earnest,1
unraveled,The Taming of the Shrew,1
play,Romeo and Juliet,1
presents,Macbeth,1
prison,Beloved,1
prison,Jane Eyre,1
uncle,Pride and Prejudice,1
uncle,Emma,1
private,As You Like It,1
private,Othello,1
private,The Taming of the Shrew,1
privately,The Great Gatsby,1
uncertainty,Othello,1
unbeknownst,Jane Eyre,1
privately,The Taming of the Shrew,1
privileged,The Great Gatsby,1
unable,The Kite Runner,1
unable,Life of Pi,1
unable,Jane Eyre,1
unabashed,Emma,1
problem,Jane Eyre,1
problem,The Importance of Being Earnest,1
problem,The Taming of the Shrew,1
problems,As You Like It,1
ultimately,Twelfth Night,1
ultimately,The Kite Runner,1
procession,The Scarlet Letter,1
proclaimed,Macbeth,1
proclaimed,Much Ado About Nothing,1
proclaims,The Taming of the Shrew,1
produce,The Taming of the Shrew,1
uncle,Twelfth Night,1
prince,Much Ado About Nothing,1
prime,Macbeth,1
undertakes,The Awakening,1
president,The Handmaid's Tale,1
press,Jane Eyre,1
unexpectedly,The Awakening,1
pressure,Beloved,1
pressure,The Scarlet Letter,1
presumed,The Scarlet Letter,1
uneasy,Beloved,1
presumed,Twelfth Night,1
undetermined,Life of Pi,1
underway,The Taming of the Shrew,1
undertaking,Othello,1
pretend,The Taming of the Shrew,1
pretending,The Handmaid's Tale,1
pride,Emma,1
pretending,The Importance of Being Earnest,1
understanding,As You Like It,1
understandably,The Taming of the Shrew,1
undaunted,The Taming of the Shrew,1
pretends,The Handmaid's Tale,1
unconfessed,The Scarlet Letter,1
uncomfortable,Beloved,1
prevails,Macbeth,1
prevents,As You Like It,1
prevents,Romeo and Juliet,1
previous,The Handmaid's Tale,1
previously,Twelfth Night,1
produces,Beloved,1
produces,Jane Eyre,1
produces,Twelfth Night,1
proving,Twelfth Night,1
prospect,Romeo and Juliet,1
types,Twelfth Night,1
protect,Twelfth Night,1
protests,Othello,1
two,The Importance of Being Earnest,1
proves,Beloved,1
two,The Awakening,1
provide,The Awakening,1
provided,The Taming of the Shrew,1
provides,Jane Eyre,1
provides,The Taming of the Shrew,1
provides,Twelfth Night,1
provisions,Life of Pi,1
typhus,Jane Eyre,1
prynne,The Scarlet Letter,1
pseudo,The Handmaid's Tale,1
psychological,The Scarlet Letter,1
public,Romeo and Juliet,1
public,The Handmaid's Tale,1
public,The Scarlet Letter,1
public,The Taming of the Shrew,1
publicly,The Scarlet Letter,1
two,Othello,1
pulling,The Scarlet Letter,1
pumps,The Handmaid's Tale,1
two,Much Ado About Nothing,1
proposing,Pride and Prejudice,1
proposes,Pride and Prejudice,1
professional,The Great Gatsby,1
prompts,Romeo and Juliet,1
professor,The Handmaid's Tale,1
prohibitions,The Awakening,1
promise,Pride and Prejudice,1
promised,Macbeth,1
promised,Othello,1
ultimately,The Handmaid's Tale,1
promises,Othello,1
promises,Romeo and Juliet,1
ultimately,The Awakening,1
promising,Emma,1
ultimately,Othello,1
promising,Pride and Prejudice,1
proof,Othello,1
propose,The Importance of Being Earnest,1
proof,The Taming of the Shrew,1
proper,As You Like It,1
ultimately,Life of Pi,1
proper,Jane Eyre,1
properly,The Taming of the Shrew,1
ugly,The Kite Runner,1
u,The Handmaid's Tale,1
proposal,Emma,1
proposal,Pride and Prejudice,1
typical,The Kite Runner,1
proposal,The Importance of Being Earnest,1
propose,Much Ado About Nothing,1
presents,The Handmaid's Tale,1
presented,The Taming of the Shrew,1
play,The Importance of Being Earnest,1
present,The Taming of the Shrew,1
polished,Emma,1
politely,Emma,1
upon,Othello,1
polluted,The Handmaid's Tale,1
polygynous,The Handmaid's Tale,1
pontellier,The Awakening,1
upon,Macbeth,1
unwoman,The Handmaid's Tale,1
poorly,Jane Eyre,1
popular,Twelfth Night,1
population,The Handmaid's Tale,1
unwilling,The Awakening,1
populous,Emma,1
unusually,Beloved,1
porter,Macbeth,1
portraits,The Awakening,1
posing,The Importance of Being Earnest,1
posited,The Taming of the Shrew,1
unusual,The Scarlet Letter,1
position,The Taming of the Shrew,1
possess,The Taming of the Shrew,1
possession,Othello,1
possession,The Handmaid's Tale,1
possibly,The Handmaid's Tale,1
possibly,The Taming of the Shrew,1
unruly,The Scarlet Letter,1
post,Emma,1
upon,The Great Gatsby,1
poisoned,As You Like It,1
points,The Scarlet Letter,1
plot,Twelfth Night,1
utterly,The Awakening,1
usurped,As You Like It,1
played,Twelfth Night,1
plays,Twelfth Night,1
usually,The Awakening,1
plea,The Handmaid's Tale,1
usual,Emma,1
pleading,Othello,1
pleas,As You Like It,1
pleasant,Emma,1
pleasure,Jane Eyre,1
plot,Beloved,1
plots,Othello,1
upon,Twelfth Night,1
use,Othello,1
use,Jane Eyre,1
us,The Kite Runner,1
plural,Life of Pi,1
urges,Othello,1
poems,As You Like It,1
uproar,The Taming of the Shrew,1
point,As You Like It,1
point,Emma,1
point,Othello,1
point,The Awakening,1
upper,The Awakening,1
unrequited,Romeo and Juliet,1
potential,The Handmaid's Tale,1
visit,The Awakening,1
preparations,Macbeth,1
preference,Life of Pi,1
prefers,Jane Eyre,1
unites,Much Ado About Nothing,1
prefers,The Taming of the Shrew,1
uniform,The Handmaid's Tale,1
unhealthy,Beloved,1
unhappy,The Handmaid's Tale,1
pregnant,Beloved,1
pregnant,The Awakening,1
prejudiced,Pride and Prejudice,1
preoccupied,Othello,1
preparation,Macbeth,1
prepared,Macbeth,1
predictions,Macbeth,1
unhappy,Emma,1
prepares,Macbeth,1
unhappily,The Importance of Being Earnest,1
prepares,The Taming of the Shrew,1
presence,Pride and Prejudice,1
presence,The Handmaid's Tale,1
present,Emma,1
unguarded,The Handmaid's Tale,1
present,The Importance of Being Earnest,1
unfortunately,The Importance of Being Earnest,1
present,The Kite Runner,1
unfaithfulness,Othello,1
predicts,Pride and Prejudice,1
unknowingly,Othello,1
unpleasantly,The Importance of Being Earnest,1
praises,Pride and Prejudice,1
pounce,As You Like It,1
unnumbered,The Handmaid's Tale,1
pounds,Jane Eyre,1
unnerved,Beloved,1
unnamed,Beloved,1
unloved,Jane Eyre,1
power,Macbeth,1
unlike,The Importance of Being Earnest,1
power,The Taming of the Shrew,1
unless,The Importance of Being Earnest,1
powerful,Othello,1
powerless,Jane Eyre,1
praises,The Importance of Being Earnest,1
predicted,Jane Eyre,1
pranksters,Twelfth Night,1
pray,Othello,1
unknown,The Handmaid's Tale,1
prayer,Othello,1
unknown,Beloved,1
prayer,The Handmaid's Tale,1
pre,The Handmaid's Tale,1
unknowingly,The Awakening,1
pre,The Kite Runner,1
precisely,Macbeth,1
predecessor,The Handmaid's Tale,1
predict,Macbeth,1
passion,The Awakening,1
wake,Jane Eyre,1
passes,The Handmaid's Tale,1
new,Emma,1
new,Pride and Prejudice,1
new,The Kite Runner,1
woman,As You Like It,1
witted,As You Like It,1
new,The Taming of the Shrew,1
newly,Emma,1
witnesses,The Scarlet Letter,1
newly,Pride and Prejudice,1
witnesses,Macbeth,1
newly,The Scarlet Letter,1
witnessed,The Taming of the Shrew,1
witness,The Taming of the Shrew,1
newly,The Taming of the Shrew,1
witness,The Scarlet Letter,1
news,As You Like It,1
without,Jane Eyre,1
within,Emma,1
within,Beloved,1
newspaper,Jane Eyre,1
next,As You Like It,1
next,Life of Pi,1
next,Pride and Prejudice,1
next,Romeo and Juliet,1
witchcraft,Othello,1
wit,Pride and Prejudice,1
wishing,The Taming of the Shrew,1
wishes,Twelfth Night,1
woman,Pride and Prejudice,1
woman,The Great Gatsby,1
niece,As You Like It,1
woman,The Scarlet Letter,1
needs,The Awakening,1
words,Othello,1
words,Emma,1
word,Othello,1
word,Emma,1
needs,The Taming of the Shrew,1
neglected,As You Like It,1
woolf,Beloved,1
neighborhood,Pride and Prejudice,1
woods,Jane Eyre,1
neighbors,Beloved,1
neither,Much Ado About Nothing,1
nephew,The Importance of Being Earnest,1
woods,Beloved,1
woodpile,Beloved,1
wood,Macbeth,1
woo,Twelfth Night,1
woo,The Taming of the Shrew,1
never,As You Like It,1
woo,As You Like It,1
never,Life of Pi,1
never,Pride and Prejudice,1
wondering,The Taming of the Shrew,1
wonder,Beloved,1
women,The Taming of the Shrew,1
womanizer,The Awakening,1
never,The Scarlet Letter,1
nicest,The Taming of the Shrew,1
niece,Emma,1
passes,Life of Pi,1
note,The Awakening,1
william,Pride and Prejudice,1
noted,The Taming of the Shrew,1
notes,Beloved,1
william,Beloved,1
noteworthy,The Great Gatsby,1
wild,Life of Pi,1
nothing,As You Like It,1
nothing,Emma,1
wife,The Scarlet Letter,1
nothing,Pride and Prejudice,1
notice,Emma,1
wife,The Awakening,1
notices,Othello,1
wife,Emma,1
notices,The Scarlet Letter,1
noting,The Importance of Being Earnest,1
whose,The Handmaid's Tale,1
notorious,The Awakening,1
whose,The Great Gatsby,1
whose,Macbeth,1
whose,Jane Eyre,1
whose,Emma,1
whose,As You Like It,1
whorish,The Handmaid's Tale,1
novel,Beloved,1
white,The Kite Runner,1
white,The Handmaid's Tale,1
note,The Importance of Being Earnest,1
note,Emma,1
night,Emma,1
nose,The Great Gatsby,1
wishes,The Taming of the Shrew,1
wishes,Emma,1
wishes,As You Like It,1
night,Macbeth,1
night,Much Ado About Nothing,1
night,Othello,1
wish,Othello,1
wish,Emma,1
night,The Handmaid's Tale,1
night,Twelfth Night,1
wisely,Othello,1
wire,The Handmaid's Tale,1
nightclub,The Handmaid's Tale,1
nightmares,Beloved,1
winds,The Great Gatsby,1
nights,Jane Eyre,1
nobleman,The Taming of the Shrew,1
window,Much Ado About Nothing,1
noise,Macbeth,1
nominates,Macbeth,1
nonsense,Macbeth,1
nonwhite,The Handmaid's Tale,1
noon,The Taming of the Shrew,1
winding,The Taming of the Shrew,1
normal,The Handmaid's Tale,1
north,Beloved,1
northern,Romeo and Juliet,1
needlework,The Scarlet Letter,1
work,Much Ado About Nothing,1
work,The Awakening,1
moves,Pride and Prejudice,1
moving,Macbeth,1
yellow,Twelfth Night,1
mr,Beloved,1
mr,The Importance of Being Earnest,1
mrs,Beloved,1
much,Pride and Prejudice,1
years,Life of Pi,1
year,The Handmaid's Tale,1
year,Jane Eyre,1
much,Twelfth Night,1
year,Emma,1
murder,Othello,1
murder,Romeo and Juliet,1
murdered,Beloved,1
yard,Beloved,1
murdered,Macbeth,1
wrote,The Importance of Being Earnest,1
murderers,Macbeth,1
murders,Macbeth,1
wrongdoing,Pride and Prejudice,1
murders,The Handmaid's Tale,1
music,The Importance of Being Earnest,1
musical,Twelfth Night,1
wrongdoing,Othello,1
wrong,Twelfth Night,1
must,As You Like It,1
written,The Importance of Being Earnest,1
yet,As You Like It,1
movement,Twelfth Night,1
need,Emma,1
yorkshire,Emma,1
morning,The Awakening,1
youthful,Emma,1
mortified,Pride and Prejudice,1
youth,Twelfth Night,1
morton,Jane Eyre,1
youth,The Kite Runner,1
youth,As You Like It,1
mossy,Beloved,1
youngest,As You Like It,1
younger,The Taming of the Shrew,1
mother,Pride and Prejudice,1
young,The Scarlet Letter,1
young,The Kite Runner,1
mother,The Scarlet Letter,1
young,The Importance of Being Earnest,1
young,The Awakening,1
mourning,Romeo and Juliet,1
young,Othello,1
mourning,The Importance of Being Earnest,1
mourning,Twelfth Night,1
mourns,Much Ado About Nothing,1
move,Jane Eyre,1
move,Macbeth,1
move,The Awakening,1
young,Macbeth,1
moved,The Great Gatsby,1
movement,The Great Gatsby,1
must,Jane Eyre,1
writes,Twelfth Night,1
writes,The Importance of Being Earnest,1
must,Othello,1
worse,The Importance of Being Earnest,1
narrative,Jane Eyre,1
narrative,The Handmaid's Tale,1
nature,Jane Eyre,1
worry,Emma,1
worried,Emma,1
world,Twelfth Night,1
nature,The Kite Runner,1
world,The Handmaid's Tale,1
navigate,The Kite Runner,1
near,As You Like It,1
world,Macbeth,1
world,As You Like It,1
works,The Taming of the Shrew,1
near,The Awakening,1
near,The Handmaid's Tale,1
near,The Scarlet Letter,1
works,Jane Eyre,1
near,Twelfth Night,1
nearby,The Awakening,1
nearby,The Taming of the Shrew,1
working,Jane Eyre,1
nearing,Jane Eyre,1
worked,Pride and Prejudice,1
nearly,Jane Eyre,1
work,The Taming of the Shrew,1
necessary,The Importance of Being Earnest,1
narrated,The Handmaid's Tale,1
narrated,Beloved,1
names,The Handmaid's Tale,1
mysteriously,Jane Eyre,1
writes,Pride and Prejudice,1
writes,Jane Eyre,1
must,The Kite Runner,1
write,Emma,1
wrestler,As You Like It,1
mutual,Emma,1
mutual,The Handmaid's Tale,1
mutually,Life of Pi,1
wrestle,As You Like It,1
mysterious,Beloved,1
mysterious,Jane Eyre,1
mysterious,The Great Gatsby,1
wreck,Jane Eyre,1
worth,Beloved,1
name,Beloved,1
name,Emma,1
woven,Twelfth Night,1
name,Jane Eyre,1
wounds,Othello,1
wounds,Life of Pi,1
wounds,Beloved,1
wounded,Romeo and Juliet,1
wounded,Othello,1
wounded,As You Like It,1
named,Jane Eyre,1
worthy,Emma,1
white,Beloved,1
novel,Jane Eyre,1
whitcross,Jane Eyre,1
outside,Othello,1
wanted,Othello,1
outside,The Handmaid's Tale,1
outside,Twelfth Night,1
want,The Taming of the Shrew,1
outsider,Jane Eyre,1
wandering,Beloved,1
overbearing,Pride and Prejudice,1
overboard,Life of Pi,1
wall,The Handmaid's Tale,1
overcome,The Importance of Being Earnest,1
overhear,Much Ado About Nothing,1
overhears,Pride and Prejudice,1
walks,Macbeth,1
overhears,The Importance of Being Earnest,1
overlap,The Kite Runner,1
walking,Jane Eyre,1
walking,Emma,1
walk,Emma,1
overly,Emma,1
waking,The Taming of the Shrew,1
wakes,Jane Eyre,1
pupil,Jane Eyre,1
waits,The Taming of the Shrew,1
waiting,The Importance of Being Earnest,1
overpowers,The Handmaid's Tale,1
overseer,Beloved,1
overthrown,Emma,1
wanted,The Importance of Being Earnest,1
outraged,Life of Pi,1
watch,Romeo and Juliet,1
wants,Much Ado About Nothing,1
orchard,Romeo and Juliet,1
orchestrating,Pride and Prejudice,1
order,The Scarlet Letter,1
watch,As You Like It,1
warrior,Macbeth,1
order,Twelfth Night,1
orders,Emma,1
warns,The Scarlet Letter,1
warned,The Taming of the Shrew,1
warned,As You Like It,1
orders,The Importance of Being Earnest,1
